origin,hour,model,actual,forecast,error,abs_error
2024-05-17,2024-05-17 06:00:00,previous_week,2744.0,1901.0,843.0,843.0
2024-05-17,2024-05-17 07:00:00,previous_week,6360.0,4708.0,1652.0,1652.0
2024-05-17,2024-05-17 08:00:00,previous_week,9113.0,5965.0,3148.0,3148.0
2024-05-17,2024-05-17 09:00:00,previous_week,7386.0,4090.0,3296.0,3296.0
2024-05-17,2024-05-17 10:00:00,previous_week,6135.0,3349.0,2786.0,2786.0
2024-05-17,2024-05-17 11:00:00,previous_week,6621.0,4066.0,2555.0,2555.0
2024-05-17,2024-05-17 12:00:00,previous_week,7686.0,4520.0,3166.0,3166.0
2024-05-17,2024-05-17 13:00:00,previous_week,8234.0,5624.0,2610.0,2610.0
2024-05-17,2024-05-17 14:00:00,previous_week,9531.0,6249.0,3282.0,3282.0
2024-05-17,2024-05-17 15:00:00,previous_week,10731.0,6797.0,3934.0,3934.0
2024-05-17,2024-05-17 16:00:00,previous_week,11733.0,5732.0,6001.0,6001.0
2024-05-17,2024-05-17 17:00:00,previous_week,13727.0,7639.0,6088.0,6088.0
2024-05-17,2024-05-17 18:00:00,previous_week,12682.0,8311.0,4371.0,4371.0
2024-05-17,2024-05-17 19:00:00,previous_week,10355.0,4694.0,5661.0,5661.0
2024-05-17,2024-05-17 20:00:00,previous_week,7738.0,3466.0,4272.0,4272.0
2024-05-17,2024-05-17 21:00:00,previous_week,5631.0,2728.0,2903.0,2903.0
2024-05-17,2024-05-17 22:00:00,previous_week,4745.0,2744.0,2001.0,2001.0
2024-05-17,2024-05-17 23:00:00,previous_week,4390.0,2484.0,1906.0,1906.0
2024-05-17,2024-05-17 00:00:00,hour_of_day_profile,1809.0,1009.2992700729927,799.7007299270073,799.7007299270073
2024-05-17,2024-05-17 01:00:00,hour_of_day_profile,1004.0,602.2627737226277,401.7372262773723,401.7372262773723
2024-05-17,2024-05-17 02:00:00,hour_of_day_profile,641.0,379.963503649635,261.036496350365,261.036496350365
2024-05-17,2024-05-17 03:00:00,hour_of_day_profile,382.0,261.05109489051097,120.94890510948903,120.94890510948903
2024-05-17,2024-05-17 04:00:00,hour_of_day_profile,378.0,263.88321167883214,114.11678832116786,114.11678832116786
2024-05-17,2024-05-17 05:00:00,hour_of_day_profile,985.0,638.7299270072992,346.27007299270076,346.27007299270076
2024-05-17,2024-05-17 06:00:00,hour_of_day_profile,2744.0,1758.4160583941605,985.5839416058395,985.5839416058395
2024-05-17,2024-05-17 07:00:00,hour_of_day_profile,6360.0,3712.919708029197,2647.080291970803,2647.080291970803
2024-05-17,2024-05-17 08:00:00,hour_of_day_profile,9113.0,5750.934306569343,3362.065693430657,3362.065693430657
2024-05-17,2024-05-17 09:00:00,hour_of_day_profile,7386.0,4667.007299270073,2718.9927007299266,2718.9927007299266
2024-05-17,2024-05-17 10:00:00,hour_of_day_profile,6135.0,3882.394160583942,2252.605839416058,2252.605839416058
2024-05-17,2024-05-17 11:00:00,hour_of_day_profile,6621.0,4159.868613138686,2461.1313868613142,2461.1313868613142
2024-05-17,2024-05-17 12:00:00,hour_of_day_profile,7686.0,4687.481751824817,2998.5182481751826,2998.5182481751826
2024-05-17,2024-05-17 13:00:00,hour_of_day_profile,8234.0,4990.737226277372,3243.2627737226276,3243.2627737226276
2024-05-17,2024-05-17 14:00:00,hour_of_day_profile,9531.0,5578.014598540146,3952.985401459854,3952.985401459854
2024-05-17,2024-05-17 15:00:00,hour_of_day_profile,10731.0,6118.63503649635,4612.36496350365,4612.36496350365
2024-05-17,2024-05-17 16:00:00,hour_of_day_profile,11733.0,6656.14598540146,5076.85401459854,5076.85401459854
2024-05-17,2024-05-17 17:00:00,hour_of_day_profile,13727.0,8127.613138686132,5599.386861313868,5599.386861313868
2024-05-17,2024-05-17 18:00:00,hour_of_day_profile,12682.0,7500.875912408759,5181.124087591241,5181.124087591241
2024-05-17,2024-05-17 19:00:00,hour_of_day_profile,10355.0,5399.445255474453,4955.554744525547,4955.554744525547
2024-05-17,2024-05-17 20:00:00,hour_of_day_profile,7738.0,3734.8394160583944,4003.1605839416056,4003.1605839416056
2024-05-17,2024-05-17 21:00:00,hour_of_day_profile,5631.0,2800.014598540146,2830.985401459854,2830.985401459854
2024-05-17,2024-05-17 22:00:00,hour_of_day_profile,4745.0,2268.6423357664235,2476.3576642335765,2476.3576642335765
2024-05-17,2024-05-17 23:00:00,hour_of_day_profile,4390.0,1629.6569343065694,2760.3430656934306,2760.3430656934306
2024-05-17,2024-05-17 00:00:00,weekday_hour_profile,1809.0,1020.0,789.0,789.0
2024-05-17,2024-05-17 01:00:00,weekday_hour_profile,1004.0,548.7368421052631,455.2631578947369,455.2631578947369
2024-05-17,2024-05-17 02:00:00,weekday_hour_profile,641.0,327.42105263157896,313.57894736842104,313.57894736842104
2024-05-17,2024-05-17 03:00:00,weekday_hour_profile,382.0,211.89473684210526,170.10526315789474,170.10526315789474
2024-05-17,2024-05-17 04:00:00,weekday_hour_profile,378.0,247.73684210526315,130.26315789473685,130.26315789473685
