hour,rides,date,month,day_name,day_of_week,hour_of_day,day_of_year,is_weekend,is_federal_holiday,hour_sin,hour_cos,dow_sin,dow_cos,month_number,month_sin,month_cos,is_weekend_int,is_federal_holiday_int,days_since_start,lag_24h,lag_168h,rolling_24h_prior_day,rolling_168h_prior_day
2024-06-14 06:00:00,3364,2024-06-14,2024-06,Friday,4,6,166,False,False,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.25,3803.0,3456.0,7171.458333333333,6717.625
2024-06-14 07:00:00,6613,2024-06-14,2024-06,Friday,4,7,166,False,False,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.29166666666666,8041.0,6789.0,7155.875,6728.7797619047615
2024-06-14 08:00:00,10085,2024-06-14,2024-06,Friday,4,8,166,False,False,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.33333333333334,12556.0,9738.0,7130.083333333333,6740.744047619048
2024-06-14 09:00:00,8459,2024-06-14,2024-06,Friday,4,9,166,False,False,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.375,9120.0,8324.0,7119.416666666667,6744.886904761905
2024-06-14 10:00:00,7236,2024-06-14,2024-06,Friday,4,10,166,False,False,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.41666666666666,6767.0,6700.0,7122.666666666667,6748.625
2024-06-14 11:00:00,7813,2024-06-14,2024-06,Friday,4,11,166,False,False,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.45833333333334,6788.0,7541.0,7129.416666666667,6751.351190476191
2024-06-14 12:00:00,8795,2024-06-14,2024-06,Friday,4,12,166,False,False,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.5,7445.0,8602.0,7132.916666666667,6753.178571428572
2024-06-14 13:00:00,9447,2024-06-14,2024-06,Friday,4,13,166,False,False,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.54166666666666,7693.0,9374.0,7121.166666666667,6753.285714285715
2024-06-14 14:00:00,10346,2024-06-14,2024-06,Friday,4,14,166,False,False,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.58333333333334,8806.0,10577.0,7121.916666666667,6769.488095238095
2024-06-14 15:00:00,10826,2024-06-14,2024-06,Friday,4,15,166,False,False,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.625,10034.0,11911.0,7126.833333333333,6791.25
2024-06-14 16:00:00,12228,2024-06-14,2024-06,Friday,4,16,166,False,False,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.66666666666666,12026.0,12903.0,7135.875,6818.488095238095
2024-06-14 17:00:00,14608,2024-06-14,2024-06,Friday,4,17,166,False,False,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.70833333333334,16963.0,15069.0,7135.375,6836.571428571428
2024-06-14 18:00:00,10325,2024-06-14,2024-06,Friday,4,18,166,False,False,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.75,16060.0,14468.0,7121.291666666667,6844.077380952381
2024-06-14 19:00:00,4542,2024-06-14,2024-06,Friday,4,19,166,False,False,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.79166666666666,12660.0,12116.0,7127.5,6846.964285714285
2024-06-14 20:00:00,5447,2024-06-14,2024-06,Friday,4,20,166,False,False,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.83333333333334,9631.0,9283.0,7127.208333333333,6847.244047619048
2024-06-14 21:00:00,4136,2024-06-14,2024-06,Friday,4,21,166,False,False,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.875,7696.0,6664.0,7149.833333333333,6856.982142857143
2024-06-14 22:00:00,4586,2024-06-14,2024-06,Friday,4,22,166,False,False,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.91666666666666,6253.0,6001.0,7174.833333333333,6862.041666666667
2024-06-14 23:00:00,4432,2024-06-14,2024-06,Friday,4,23,166,False,False,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6,1.2246467991473532e-16,-1.0,0,0,165.95833333333334,4472.0,5333.0,7187.125,6863.416666666667
2024-06-15 00:00:00,3572,2024-06-15,2024-06,Saturday,5,0,167,True,False,0.0,1.0,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.0,2637.0,3914.0,7214.0,6864.089285714285
2024-06-15 01:00:00,2375,2024-06-15,2024-06,Saturday,5,1,167,True,False,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.04166666666666,1516.0,2655.0,7234.25,6864.125
2024-06-15 02:00:00,1832,2024-06-15,2024-06,Saturday,5,2,167,True,False,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.08333333333334,915.0,1746.0,7248.0,6864.952380952381
2024-06-15 03:00:00,1128,2024-06-15,2024-06,Saturday,5,3,167,True,False,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.125,507.0,1106.0,7253.0,6864.958333333333
2024-06-15 04:00:00,724,2024-06-15,2024-06,Saturday,5,4,167,True,False,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.16666666666666,473.0,721.0,7255.375,6864.892857142857
2024-06-15 05:00:00,702,2024-06-15,2024-06,Saturday,5,5,167,True,False,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.20833333333334,1177.0,710.0,7251.625,6864.958333333333
2024-06-15 06:00:00,1636,2024-06-15,2024-06,Saturday,5,6,167,True,False,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.25,3364.0,1433.0,7233.333333333333,6864.410714285715
2024-06-15 07:00:00,2624,2024-06-15,2024-06,Saturday,5,7,167,True,False,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.29166666666666,6613.0,2911.0,7173.833333333333,6863.363095238095
2024-06-15 08:00:00,4475,2024-06-15,2024-06,Saturday,5,8,167,True,False,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.33333333333334,10085.0,4586.0,7070.875,6865.428571428572
2024-06-15 09:00:00,6993,2024-06-15,2024-06,Saturday,5,9,167,True,False,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.375,8459.0,6798.0,7043.333333333333,6866.232142857143
2024-06-15 10:00:00,9102,2024-06-15,2024-06,Saturday,5,10,167,True,False,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.41666666666666,7236.0,9053.0,7062.875,6869.422619047619
2024-06-15 11:00:00,10859,2024-06-15,2024-06,Saturday,5,11,167,True,False,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.45833333333334,7813.0,10868.0,7105.583333333333,6871.041666666667
2024-06-15 12:00:00,11822,2024-06-15,2024-06,Saturday,5,12,167,True,False,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.5,8795.0,12031.0,7161.833333333333,6872.190476190476
2024-06-15 13:00:00,12414,2024-06-15,2024-06,Saturday,5,13,167,True,False,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.54166666666666,9447.0,12688.0,7234.916666666667,6872.625
2024-06-15 14:00:00,13010,2024-06-15,2024-06,Saturday,5,14,167,True,False,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.58333333333334,10346.0,12797.0,7299.083333333333,6871.25
2024-06-15 15:00:00,12750,2024-06-15,2024-06,Saturday,5,15,167,True,False,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.625,10826.0,12942.0,7332.083333333333,6864.791666666667
2024-06-15 16:00:00,12597,2024-06-15,2024-06,Saturday,5,16,167,True,False,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.66666666666666,12228.0,12447.0,7340.5,6860.773809523809
2024-06-15 17:00:00,12374,2024-06-15,2024-06,Saturday,5,17,167,True,False,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.70833333333334,14608.0,12368.0,7242.375,6858.0297619047615
2024-06-15 18:00:00,12121,2024-06-15,2024-06,Saturday,5,18,167,True,False,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,6,1.2246467991473532e-16,-1.0,1,0,166.75,10325.0,11850.0,7003.416666666667,6833.369047619048
