hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-05 08:00:00,5277.0,4,8,Friday,False,2986.2916666666665,2663.8511904761904,5111.0,2576.3723118279568,166.0,0.21283737975771735
2024-01-05 09:00:00,4053.0,4,9,Friday,False,2982.2916666666665,2673.7916666666665,3851.5,1316.8723118279568,201.5,0.2743911637202344
2024-01-05 10:00:00,3031.0,4,10,Friday,False,2979.2916666666665,2679.2976190476193,2838.0,303.37231182795676,193.0,0.2596529337573782
2024-01-05 11:00:00,3167.0,4,11,Friday,False,2991.5833333333335,2683.9583333333335,3016.75,482.12231182795676,150.25,0.18552830659124855
2024-01-05 12:00:00,3696.0,4,12,Friday,False,3016.2083333333335,2687.9166666666665,3498.5,963.8723118279568,197.5,0.26745552609065504
2024-01-05 13:00:00,4120.0,4,13,Friday,False,3040.0,2689.029761904762,3797.0,1262.3723118279568,323.0,0.4850611567187082
2024-01-05 14:00:00,4691.0,4,14,Friday,False,3059.2083333333335,2689.404761904762,4394.75,1860.1223118279568,296.25,0.43867908007089607
2024-01-05 15:00:00,5539.0,4,15,Friday,False,3071.0416666666665,2689.5535714285716,5032.5,2497.8723118279568,506.5,0.8032335329756625
2024-01-05 16:00:00,5935.0,4,16,Friday,False,3077.875,2689.6488095238096,5535.75,3001.1223118279568,399.25,0.6172717490325652
2024-01-05 17:00:00,6683.0,4,17,Friday,False,3078.8333333333335,2689.9761904761904,6243.25,3708.6223118279568,439.75,0.6874950800320565
2024-01-05 18:00:00,5803.0,4,18,Friday,False,3060.7916666666665,2691.184523809524,5461.75,2927.1223118279568,341.25,0.5167050034036642
2024-01-05 19:00:00,4248.0,4,19,Friday,False,3012.2083333333335,2694.7261904761904,4147.0,1612.3723118279568,101.0,0.10013326827705236
2024-01-05 20:00:00,2853.0,4,20,Friday,False,2904.0833333333335,2704.345238095238,2944.0,409.37231182795676,-91.0,-0.2327773379427581
2024-01-05 21:00:00,2156.0,4,21,Friday,False,2768.0,2722.8988095238096,2296.75,-237.87768817204324,-140.75,-0.3190393309606517
2024-01-05 22:00:00,1886.0,4,22,Friday,False,2728.5416666666665,2733.9761904761904,1742.5,-792.1276881720432,143.5,0.17382441809133334
2024-01-05 23:00:00,1567.0,4,23,Friday,False,2758.125,2739.2976190476193,1327.0,-1207.6276881720432,240.0,0.34114667590493597
2024-01-06 00:00:00,1139.0,5,0,Saturday,True,2813.625,2734.1964285714284,967.75,-1566.8776881720432,171.25,0.22194040414654032
